2024-05-27 14:39:43.358 [main] INFO  by.quantumquartet.quanthink.QuanthinkWolframApplication - Starting QuanthinkWolframApplication using Java 17.0.9 with PID 19236 (C:\Программирование\6 сем РиПС\Распределенные системы\Projects\QuanthinkWolfram\target\classes started by Egorishche7 in C:\Программирование\6 сем РиПС\Распределенные системы\Projects\QuanthinkWolfram)
2024-05-27 14:39:43.373 [main] INFO  by.quantumquartet.quanthink.QuanthinkWolframApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-27 14:39:44.145 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-27 14:39:44.226 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 66 ms. Found 5 JPA repository interfaces.
2024-05-27 14:39:44.738 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-27 14:39:44.808 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1402 ms
2024-05-27 14:39:44.951 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-27 14:39:45.026 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-05-27 14:39:45.063 [main] INFO  org.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-27 14:39:45.266 [main] INFO  org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-27 14:39:46.592 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-27 14:39:48.041 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-27 14:39:48.680 [main] INFO  org.springframework.data.jpa.repository.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-05-27 14:39:49.218 [main] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-27 14:39:49.548 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@46f5030f, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@18b77ec9, org.springframework.security.web.context.SecurityContextHolderFilter@5f0bcadb, org.springframework.security.web.header.HeaderWriterFilter@79927a7c, org.springframework.web.filter.CorsFilter@36821a1b, org.springframework.security.web.authentication.logout.LogoutFilter@6f36c42, by.quantumquartet.quanthink.security.JwtAuthTokenFilter@18a538a0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2d7bfb13, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7ae736a8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@34adce96, org.springframework.security.web.session.SessionManagementFilter@17f8c75e, org.springframework.security.web.access.ExceptionTranslationFilter@18563d10, org.springframework.security.web.access.intercept.AuthorizationFilter@5f7e2ca8]
2024-05-27 14:39:49.989 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-27 14:39:49.991 [main] INFO  org.springframework.messaging.simp.broker.SimpleBrokerMessageHandler - Starting...
2024-05-27 14:39:49.991 [main] INFO  org.springframework.messaging.simp.broker.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@76b195d]]
2024-05-27 14:39:49.991 [main] INFO  org.springframework.messaging.simp.broker.SimpleBrokerMessageHandler - Started.
2024-05-27 14:39:49.999 [main] INFO  by.quantumquartet.quanthink.QuanthinkWolframApplication - Started QuanthinkWolframApplication in 6.941 seconds (process running for 7.936)
2024-05-27 14:40:15.555 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-27 14:40:15.556 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-05-27 14:40:15.761 [http-nio-8080-exec-2] INFO  by.quantumquartet.quanthink.controllers.AuthenticationController - User registered with id = 6
2024-05-27 14:40:16.571 [http-nio-8080-exec-4] INFO  by.quantumquartet.quanthink.controllers.AuthenticationController - User registered with id = 7
